title,location,total,costPerPerson,basePerNight,extraFees,startDate,endDate,nights,averageRating,numOfRatings,rooms,beds,baths,guests,links
Hanksville Red Rock Cave Home - A Desert Paradise,"Hanksville, Utah, United States",1951,325.1666666666667,359,515,8/11/2021,8/15/2021,4,4.87,null,3,6,3,6,https://www.airbnb.com/rooms/32183107?adults=6&check_in=2021-08-11&check_out=2021-08-15&federated_search_id=5ceeab11-766b-4c8b-8f5a-efc7920f220a&source_impression_id=p3_1617846086_FpOcJ4rpjDV7jnJb&guests=1
Dog-friendly cabin with soaring views of mountains and private hot tub!,"Baring, Washington, United States",1756,292.6666666666667,307,528,8/11/2021,8/15/2021,4,4.17,null,1,4,1,6,https://www.airbnb.com/rooms/19786060?adults=6&check_in=2021-08-11&check_out=2021-08-15&federated_search_id=9b50d2d7-852e-4ff9-9ba9-eba747328b24&source_impression_id=p3_1618181305_6SSUIO9JpCbU8%2B04
Social Distancing at Secret Island Beach House,"Lakebay, Washington, United States",2926,487.6666666666667,443,711,8/11/2021,8/16/2021,5,4.86,null,3,6,1,6,https://www.airbnb.com/rooms/3292906?adults=6&check_out=2021-08-16&check_in=2021-08-11&s=42&unique_share_id=DBBD772D-A9D5-4434-A6BD-5A25B08721CF&_branch_match_id=909121047872887774&source_impression_id=p3_1617996919_oZAwDohIJdizQXG9
Riverfront Mountain Cabin w/ Private Hot Tub & Wonderful Views - Dogs OK!,"Baring, Washington, United States",2020,336.6666666666667,359,584,8/11/2021,8/15/2021,4,4.51,null,2,4,2,6,https://www.airbnb.com/rooms/19785969?adults=6&check_in=2021-08-11&check_out=2021-08-15&federated_search_id=1674aa05-bd05-46c4-ae07-7849caa4c608&source_impression_id=p3_1618181250_0%2BPWnALYzux%2F0U3G
River View Cabana-Perfect for families!,"Twin Falls, Idaho, United States",2194,365.6666666666667,350,794,8/11/2021,8/15/2021,4,4.59,null,4,7,3,6,https://www.airbnb.com/rooms/33918134?adults=6&check_in=2021-08-11&check_out=2021-08-15&federated_search_id=ed938973-cd91-49a4-af17-f739fc0e18cc&source_impression_id=p3_1618181491_a%2FnWdAkwJr%2FBXjPz&guests=1
All Marshed Up-Upscale with Spectacular Marsh View,"Surf City, North Carolina, United States",2298,383.0,399,702,8/11/2021,8/15/2021,4,4.86,null,3,3,2,6,https://www.airbnb.com/rooms/24580232?adults=6&check_in=2021-08-11&check_out=2021-08-15&federated_search_id=8894012c-efe6-42d6-852c-3a465b8ee7b4&source_impression_id=p3_1618181700_4HRRDZxw%2FUWpPM3o&guests=1
Modern Mountain Escape,"Wenatchee, Washington, United States",2134,355.6666666666667,376,630,8/11/2021,8/15/2021,4,5.0,null,4,6,3,6,https://www.airbnb.com/rooms/43164394?adults=6&check_in=2021-08-11&check_out=2021-08-15&federated_search_id=7f23dd98-0824-4d76-be52-98bf20b3bec4&source_impression_id=p3_1618182986_EUGL6bPhvGNIKR3l&guests=1
"""Alpinwald""  Hot Tub, White Pass, BBQ, Gazebo","Packwood, Washington, United States",1751,291.8333333333333,325,451,8/11/2021,8/15/2021,4,4.88,null,2,2,2,6,https://www.airbnb.com/rooms/39553303?adults=6&check_in=2021-08-11&check_out=2021-08-15&federated_search_id=b07eaf8c-77b0-45cf-ae6f-7f6c51715beb&source_impression_id=p3_1618183055_A0ettJwUEszt99wx&guests=1
"Money Creek Chalet- stunning, bright & spacious w/ hot tub for 8 +pets","Skykomish, Washington, United States",null,null,412,null,8/11/2021,8/15/2021,4,4.66,null,3,6,2,6,https://www.airbnb.com/rooms/40270026?adults=6&check_in=2021-08-11&check_out=2021-08-15&federated_search_id=1dbbebe3-b87f-4a00-b2fc-3a1bfc5935f6&source_impression_id=p3_1618184462_Co1ohMBZNxzqmwQa
"Money Creek Chalet- stunning, bright & spacious w/ hot tub for 8 +pets","Skykomish, Washington, United States",null,null,412,null,8/11/2021,8/15/2021,4,4.66,null,3,6,2,6,https://www.airbnb.com/rooms/40270026?adults=6&check_in=2021-08-11&check_out=2021-08-15&federated_search_id=1dbbebe3-b87f-4a00-b2fc-3a1bfc5935f6&source_impression_id=p3_1618184462_Co1ohMBZNxzqmwQa
